,author,loyalty_score,FUD_ratio,num_of_messages_normalized,meaningful_msg_ratio
3280,renzwe,0.0,0.0,2.27,0.09
3281,domisol,0.0,0.0,2.27,0.09
3282,Purel99,0.0,0.0,2.27,0.09
3283,COD1990,0.0,0.0,2.27,0.09
3284,Gladiboy,0.0,0.0,2.27,0.09
3285,XZYRZ,0.0,0.0,2.27,0.09
3286,Jane49,0.0,0.0,2.27,0.09
3287,hossain111,0.0,0.0,2.27,0.09
3288,rike,0.0,0.0,2.27,0.09
3289,ewass,0.0,0.0,2.27,0.09
3290,nvro,0.0,0.0,2.27,0.09
3291,Fuma,0.0,0.0,2.27,0.09
3292,Ipunka7x,0.0,0.0,2.27,0.09
3293,ArBul,0.0,0.0,2.27,0.09
3294,Vianskyrim,0.0,0.0,2.27,0.09
3295,VikiPratama,0.0,0.0,2.27,0.09
3296,haikaljim9,0.0,0.0,2.27,0.09
3297,0xGib,0.0,0.0,2.27,0.09
3298,sad100jt,0.0,0.0,2.27,0.09
3299,Alfewnm,0.0,0.0,2.27,0.09
3300,nonoyhunayah,0.0,0.0,2.27,0.09
3301,ulichelsea87,0.0,0.0,2.27,0.09
3302,rnevanz,0.0,0.0,2.27,0.09
3303,Nav420,0.0,0.0,2.27,0.09
3304,fid1403,0.0,0.0,2.27,0.09
3305,PaalX,0.0,0.0,2.27,0.09
3306,faturalfasya,0.0,0.0,2.27,0.09
3307,rizkyaditya,0.0,0.0,2.27,0.09
3308,henari1922,0.0,0.0,2.27,0.09
3309,MinerEz,0.0,0.0,2.27,0.09
3310,PindanAS,0.0,0.0,2.27,0.09
3311,thereahmad,0.0,0.0,2.27,0.09
3312,FauzanPHD,0.0,0.0,2.27,0.09
3313,dederobby,0.0,0.0,2.27,0.09
3314,ThisFake,0.0,0.0,2.27,0.09
3315,Ralptalia,0.0,0.0,2.27,0.09
3316,defa95,0.0,0.0,2.27,0.09
3317,delvan.official,0.0,0.0,2.27,0.09
3318,Raka,0.0,0.0,2.27,0.09
3319,Diyojen,0.0,0.0,2.27,0.09
3320,RaidenMei,0.0,0.0,2.27,0.09
3321,4ripin,0.0,0.0,2.27,0.09
3322,Fahim,0.0,0.0,2.27,0.09
3323,deku,0.0,0.0,2.27,0.09
3324,DoMVs,0.0,0.0,2.27,0.09
3325,MieAyam,0.0,0.0,2.27,0.09
3326,br777,0.0,0.0,3.77,0.09
3327,Dreamtime,0.0,0.0,1.92,0.09
3328,Ramsss Corleone,0.0,0.0,2.33,0.09
3329,donni,0.0,0.0,2.33,0.09
3330,Blingbling777,0.0,0.0,2.33,0.09
3331,ahwan,0.0,0.0,2.33,0.09
3332,eminekam,0.0,0.0,2.33,0.09
3333,hc188,0.0,0.0,2.33,0.09
3334,ODUNAYO3,0.0,0.0,2.33,0.09
3335,Anhvo881,0.0,0.0,2.33,0.09
3336,MERAJ,0.0,0.0,2.33,0.09
3337,hartn6982,0.0,0.0,2.33,0.09
3338,Roukitan234,0.0,0.0,2.33,0.09
3339,Dylan,0.0,0.0,2.33,0.09
3340,fufu,0.0,0.0,2.33,0.09
3341,Kings2626,0.0,0.0,2.33,0.09
3342,kadal2511,0.0,0.0,2.33,0.09
3343,Mahir,0.0,0.0,2.33,0.09
3344,sarrada≡ƒÿÄ≡ƒÜ¼,0.0,0.0,1.72,0.09
3345,Γ£ºTGΓ£º USERNAME,0.0,0.0,1.72,0.09
3346,nun,0.0,0.0,1.72,0.09
3347,ceejox,0.0,0.0,3.77,0.08
3348,douyin,0.0,0.0,3.77,0.08
3349,Yashi<3,0.0,0.0,3.85,0.09
3350,DeanMachine,0.0,0.0,3.85,0.09
3351,KezoTactico,0.0,0.0,3.85,0.09
3352,ß╣í╞íu╠╕╩ƒ╩é,0.0,0.0,3.85,0.09
3353,DBarreira,0.0,0.0,3.85,0.09
3354,Alexsam,0.0,0.0,2.33,0.09
3355,ads10,0.0,0.0,1.67,0.09
3356,Tamimbaepary23,0.0,0.0,5.36,0.07
3357,Sakaleyn,0.0,0.0,2.38,0.09
3358,MarcusB,0.0,0.0,2.38,0.09
3359,Diane,0.0,0.0,3.85,0.08
3360,Tehseen18,0.0,0.14,10.29,0.09
3361,namaku,0.0,0.0,4.55,0.09
3362,igor,0.0,0.0,3.51,0.07
3363,jorgedelchile,0.0,0.0,2.44,0.09
3364,!Rickymoon,0.0,0.0,2.44,0.09
3365,copoyes,0.0,0.0,2.44,0.09
3366,Emily john,0.0,0.0,2.44,0.09
3367,Psblo17,0.0,0.0,2.44,0.09
3368,KingFizzy,0.0,0.0,2.44,0.09
3369,VIPPTicket,0.0,0.0,1.56,0.07
3370,Peace DAO,0.0,0.0,3.57,0.07
3371,Utena,0.0,0.0,1.79,0.09
3372,UnstoppableJosh🇺🇸,0.0,0.2,7.58,0.11
3373,nvhndend,0.0,0.0,2.5,0.09
3374,cmoneymoney75,0.0,0.0,2.5,0.09
3375,Kortez,0.0,0.0,2.5,0.09
3376,TechTim,0.0,0.0,2.5,0.09
3377,rudia,0.0,0.0,1.61,0.07
3378,wolbrom,0.0,0.0,1.79,0.09
3379,KryptOpa,0.0,0.0,1.79,0.09
3380,Boxyl,0.0,0.0,1.79,0.09
3381,chiricoo,0.0,0.0,1.41,0.0
3382,JiamuChenglin,0.0,0.25,3.01,0.09
3383,lijiebiao,0.0,0.0,1.82,0.09
3384,Kaemio,0.0,0.0,1.82,0.09
3385,TRGNFTc,0.0,0.0,1.82,0.09
3386,kdh,0.0,0.0,1.82,0.09
3387,Cryptoseny,0.0,0.0,1.82,0.09
3388,yexin.eth,0.0,0.0,1.82,0.09
3389,kakwastam,0.0,0.0,1.82,0.09
3390,Entoni,0.0,0.0,1.82,0.09
3391,svetlanaa750,0.0,0.0,1.82,0.09
3392,eagle2022,0.0,0.0,1.82,0.09
3393,Carlo777,0.0,0.0,1.82,0.09
3394,JohnnyBytes,0.0,0.2,3.68,0.09
3395,Ansea,0.0,0.0,1.85,0.09
3396,Doni,0.0,0.0,1.85,0.09
3397,Aar├▓n,0.0,0.0,1.85,0.09
3398,Anisaa,0.0,0.0,1.85,0.09
3399,! Tay,0.0,0.0,1.85,0.09
3400,Delfino,0.0,0.0,1.85,0.09
3401,Another,0.0,0.0,1.85,0.09
3402,DARLING,0.0,0.0,1.85,0.09
3403,Devstronaut,0.0,0.0,1.85,0.09
3404,InXane23,0.0,0.0,1.85,0.09
3405,Edzuks,0.0,0.0,1.85,0.09
3406,Adamekk<3,0.0,0.0,1.85,0.09
3407,A Party Pooper,0.0,0.0,1.85,0.09
3408,Eazy-E,0.0,0.0,1.85,0.09
3409,Aqua Pur Water Filter,0.0,0.0,1.85,0.09
3410,Heulen,0.0,0.0,1.85,0.09
3411,HeyyKIA,0.0,0.0,1.85,0.09
3412,Anio┼é38,0.0,0.0,1.85,0.09
3413,Hir0?,0.0,0.0,1.85,0.09
3414,A&W Kitchen Staff,0.0,0.0,1.85,0.09
3415,! delilah,0.0,0.0,1.85,0.09
3416,Anxious,0.0,0.0,1.85,0.09
3417,EXIL1TYPanda,0.0,0.0,1.85,0.09
3418,Coxinha M├úe,0.0,0.0,1.85,0.09
3419,! arashi eiji,0.0,0.0,1.85,0.09
3420,! Toxichev,0.0,0.0,1.85,0.09
3421,HoeNeverGetsCold,0.0,0.0,1.85,0.09
3422,Holiday,0.0,0.0,1.85,0.09
3423,D.T≡¥òÅJustEzra,0.0,0.0,1.85,0.09
3424,Dxni,0.0,0.0,1.85,0.09
3425,Holy Moly,0.0,0.0,1.85,0.09
3426,Dinero,0.0,0.0,1.85,0.09
3427,Daddy-Pixel,0.0,0.0,1.85,0.09
3428,Dark Place,0.0,0.0,1.85,0.09
3429,Dark Flame Master (yuuta),0.0,0.0,1.85,0.09
3430,AuntyHumble,0.0,0.0,1.85,0.09
3431,! JASS,0.0,0.0,1.85,0.09
3432,Darc,0.0,0.0,1.85,0.09
3433,ALFA,0.0,0.0,1.85,0.09
3434,Hypixel007,0.0,0.0,1.85,0.09
3435,Arileva,0.0,0.0,1.85,0.09
3436,Atraxia,0.0,0.0,1.85,0.09
3437,Doomadreadon,0.0,0.0,1.85,0.09
3438,DanieI,0.0,0.0,1.85,0.09
3439,! F1xHEWA23,0.0,0.0,1.85,0.09
3440,Arminn,0.0,0.0,1.85,0.09
3441,"I'm alone, call my phone",0.0,0.0,1.85,0.09
3442,DrDMohammed,0.0,0.0,1.85,0.09
3443,Dani<3,0.0,0.0,1.85,0.09
3444,Dream TUGA,0.0,0.0,1.85,0.09
3445,Arstie,0.0,0.0,1.85,0.09
3446,Dracula,0.0,0.0,1.85,0.09
3447,Arsenal,0.0,0.0,1.85,0.09
3448,! Jay<3,0.0,0.0,1.85,0.09
3449,DarkRider,0.0,0.0,1.85,0.09
3450,HomelessAsianGuy,0.0,0.0,1.85,0.09
3451,Igstv,0.0,0.0,1.85,0.09
3452,Imegine,0.0,0.0,1.85,0.09
3453,E-Boyniel,0.0,0.0,1.85,0.09
3454,Anxiety,0.0,0.0,1.85,0.09
3455,D├ªl├ªx,0.0,0.0,1.85,0.09
3456,DOOPYPOOPY69,0.0,0.0,1.85,0.09
3457,Cronos Undead,0.0,0.0,1.85,0.09
3458,DeynjaZN,0.0,0.0,1.85,0.09
3459,Dymiumm,0.0,0.0,1.85,0.09
3460,Ackerman,0.0,0.0,1.85,0.09
3461,ArevLau ≡ƒÉÿ,0.0,0.0,1.85,0.09
3462,Abdul Rehman,0.0,0.0,1.85,0.09
3463,! D,0.0,0.0,1.85,0.09
3464,Cryptiy,0.0,0.0,1.85,0.09
3465,INSOMNIAC,0.0,0.0,1.85,0.09
3466,! Perroide ≡ƒºèΓ¥ä,0.0,0.0,1.85,0.09
3467,Daryn,0.0,0.0,1.85,0.09
3468,Hydra,0.0,0.0,1.85,0.09
3469,! Mani<3,0.0,0.0,1.85,0.09
3470,ALWA7CH,0.0,0.0,1.85,0.09
3471,! LAD,0.0,0.0,1.85,0.09
3472,Dielovers,0.0,0.0,1.85,0.09
3473,Brenno777,0.0,0.0,1.85,0.09
3474,!. NJEE,0.0,0.0,1.85,0.09
3475,Azox,0.0,0.0,1.85,0.09
3476,'AYXAN,0.0,0.0,1.85,0.09
3477,*^^,0.0,0.0,1.85,0.09
3478,*goth gf*,0.0,0.0,1.85,0.09
3479,4Senpai,0.0,0.0,1.85,0.09
3480,CT,0.0,0.0,1.85,0.09
3481,*ΩÆ░ yume ΩÆ▒┬áα│âα┐ö,0.0,0.0,1.85,0.09
3482,Bixboy,0.0,0.0,1.85,0.09
3483,-Mari,0.0,0.0,1.85,0.09
3484,FearGlocks,0.0,0.0,1.85,0.09
3485,-ΓÖíΓä│≡¥Æ╢≡¥ôë≡¥Æ╜≡¥ôÄ≡¥ôêπâä,0.0,0.0,1.85,0.09
3486,Globlin,0.0,0.0,1.85,0.09
3487,Feis.,0.0,0.0,1.85,0.09
3488,Felas,0.0,0.0,1.85,0.09
3489,COMEDOR DE CASADAS,0.0,0.0,1.85,0.09
3490,42Only,0.0,0.0,1.85,0.09
3491,Felipe πâä,0.0,0.0,1.85,0.09
3492,. ≡ôä╝≡ôï£,0.0,0.0,1.85,0.09
3493,Felix Dexter Ward,0.0,0.0,1.85,0.09
3494,.Pheebs.<3,0.0,0.0,1.85,0.09
3495,Bloop.,0.0,0.0,1.85,0.09
3496,Akyamah,0.0,0.0,1.85,0.09
3497,Caliel03,0.0,0.0,1.85,0.09
3498,Bep Bop,0.0,0.0,1.85,0.09
3499,Explze,0.0,0.0,1.85,0.09
3500,Caya,0.0,0.0,1.85,0.09
3501,Catastrophicnightmare,0.0,0.0,1.85,0.09
3502,Catarina,0.0,0.0,1.85,0.09
3503,Carson.,0.0,0.0,1.85,0.09
3504,Groovy 2,0.0,0.0,1.85,0.09
3505,Carmen ╩Ü─¡╔₧α│â,0.0,0.0,1.85,0.09
3506,"""staturn""",0.0,0.0,1.85,0.09
3507,$ 888,0.0,0.0,1.85,0.09
3508,$Mace!,0.0,0.0,1.85,0.09
3509,$exy,0.0,0.0,1.85,0.09
3510,Grey_Greg,0.0,0.0,1.85,0.09
3511,5tR4nG3r,0.0,0.0,1.85,0.09
3512,$hane,0.0,0.0,1.85,0.09
3513,$houyya,0.0,0.0,1.85,0.09
3514,$oulja,0.0,0.0,1.85,0.09
3515,Big Chief H,0.0,0.0,1.85,0.09
3516,Exmo,0.0,0.0,1.85,0.09
3517,Akihita,0.0,0.0,1.85,0.09
3518,BigBag,0.0,0.0,1.85,0.09
3519,404 user not found,0.0,0.0,1.85,0.09
3520,.lucaaao,0.0,0.0,1.85,0.09
3521,347_Aidan,0.0,0.0,1.85,0.09
3522,CHARLIE,0.0,0.0,1.85,0.09
3523,Bug,0.0,0.0,1.85,0.09
3524,Bryan 20,0.0,0.0,1.85,0.09
3525,BruhItzKat,0.0,0.0,1.85,0.09
3526,GameHaxxorr,0.0,0.0,1.85,0.09
3527,For3nzy,0.0,0.0,1.85,0.09
3528,Gahhsh,0.0,0.0,1.85,0.09
3529,FoxconNn,0.0,0.0,1.85,0.09
3530,GZ,0.0,0.0,1.85,0.09
3531,Botzali uwu,0.0,0.0,1.85,0.09
3532,Franklin Prime,0.0,0.0,1.85,0.09
3533,Fre,0.0,0.0,1.85,0.09
3534,Alizay,0.0,0.0,1.85,0.09
3535,Freshman1107,0.0,0.0,1.85,0.09
3536,FriedRice,0.0,0.0,1.85,0.09
3537,1)7╔úa─¬YASEK,0.0,0.0,1.85,0.09
3538,GMRamen,0.0,0.0,1.85,0.09
3539,Froxxei...,0.0,0.0,1.85,0.09
3540,All_Hail_Seitan,0.0,0.0,1.85,0.09
3541,GD,0.0,0.0,1.85,0.09
3542,Gaming Pc,0.0,0.0,1.85,0.09
3543,1slimeweewoo1,0.0,0.0,1.85,0.09
3544,ButtFucker3000,0.0,0.0,1.85,0.09
3545,Boogie,0.0,0.0,1.85,0.09
3546,.yuu,0.0,0.0,1.85,0.09
3547,FireNotQuack424,0.0,0.0,1.85,0.09
3548,/═Ä═Ä═ÄSr.─æα½»╬▒─æΓäôyΓÿá,0.0,0.0,1.85,0.09
3549,Alphisnake,0.0,0.0,1.85,0.09
3550,Fjut_RubLud,0.0,0.0,1.85,0.09
3551,BoP,0.0,0.0,1.85,0.09
3552,Flaap,0.0,0.0,1.85,0.09
3553,C.,0.0,0.0,1.85,0.09
3554,FlaviBot Premium,0.0,0.0,1.85,0.09
3555,Gaming Princess EEmmiilley Chan,0.0,0.0,1.85,0.09
3556,Flona ≡ƒÆ£,0.0,0.0,1.85,0.09
3557,24k Lemon,0.0,0.0,1.85,0.09
3558,Gean,0.0,0.0,1.85,0.09
3559,Flooded,0.0,0.0,1.85,0.09
3560,Alone,0.0,0.0,1.85,0.09
3561,Border Bunny (MiniMeatMafia),0.0,0.0,1.85,0.09
3562,Bored,0.0,0.0,1.85,0.09
3563,ByEduMema0562_GP,0.0,0.0,1.85,0.09
3564,Cesarios,0.0,0.0,1.85,0.09
3565,Aishou Γÿ¡,0.0,0.0,1.85,0.09
3566,Efixs,0.0,0.0,1.85,0.09
3567,Hazza,0.0,0.0,1.85,0.09
3568,! steph,0.0,0.0,1.85,0.09
3569,Elric ΦÅè,0.0,0.0,1.85,0.09
3570,<jaylanii3,0.0,0.0,1.85,0.09
3571,Cocoa<3,0.0,0.0,1.85,0.09
3572,<\3,0.0,0.0,1.85,0.09
3573,BROKEN DUDE,0.0,0.0,1.85,0.09
3574,;t <3,0.0,0.0,1.85,0.09
3575,Elx,0.0,0.0,1.85,0.09
3576,! ≡¥ò▒╔ç≡¥ò»╚│,0.0,0.0,1.85,0.09
3577,Anikah,0.0,0.0,1.85,0.09
3578,Emerzinho πâí,0.0,0.0,1.85,0.09
3579,Haruyuto,0.0,0.0,1.85,0.09
3580,! ≡¥ûÿ≡¥ûÜ≡¥ûç ≡¥ûÖ ≡ûñÉ,0.0,0.0,1.85,0.09
3581,Emil~,0.0,0.0,1.85,0.09
3582,Babypup ßâô,0.0,0.0,1.85,0.09
3583,! ─░t$ Klau┼í,0.0,0.0,1.85,0.09
3584,Babzy,0.0,0.0,1.85,0.09
3585,BadDanix,0.0,0.0,1.85,0.09
3586,Claudius,0.0,0.0,1.85,0.09
3587,BAG,0.0,0.0,1.85,0.09
3588,HealerXiao,0.0,0.0,1.85,0.09
3589,7xr,0.0,0.0,1.85,0.09
3590,Ellibanana9,0.0,0.0,1.85,0.09
3591,! felicia,0.0,0.0,1.85,0.09
3592,Eggfriend,0.0,0.0,1.85,0.09
3593,Cornflakes,0.0,0.0,1.85,0.09
3594,Coolerkingers,0.0,0.0,1.85,0.09
3595,ElMay,0.0,0.0,1.85,0.09
3596,Azure Globe,0.0,0.0,1.85,0.09
3597,>LIGHT7 ΓÜí,0.0,0.0,1.85,0.09
3598,Conflict_wT,0.0,0.0,1.85,0.09
3599,ElYusufo,0.0,0.0,1.85,0.09
3600,Adi ΓÖí,0.0,0.0,1.85,0.09
3601,Helloka-,0.0,0.0,1.85,0.09
3602,Cold mikkel,0.0,0.0,1.85,0.09
3603,! gambo.,0.0,0.0,1.85,0.09
3604,HellDaughter,0.0,0.0,1.85,0.09
3605,Helix,0.0,0.0,1.85,0.09
3606,! ghoully,0.0,0.0,1.85,0.09
3607,AΓÇÖ,0.0,0.0,1.85,0.09
3608,! minmin,0.0,0.0,1.85,0.09
3609,Hearts4JJ<3,0.0,0.0,1.85,0.09
3610,!!cwa,0.0,0.0,1.85,0.09
3611,Claudia.,0.0,0.0,1.85,0.09
3612,Adolf,0.0,0.0,1.85,0.09
3613,"!"" Thibaut",0.0,0.0,1.85,0.09
3614,Chezzu,0.0,0.0,1.85,0.09
3615,Angell,0.0,0.0,1.85,0.09
3616,Epic_Gamer175,0.0,0.0,1.85,0.09
3617,Cherry Γ£»,0.0,0.0,1.85,0.09
3618,HAIRY BALLS,0.0,0.0,1.85,0.09
3619,Erggis,0.0,0.0,1.85,0.09
3620,!panda,0.0,0.0,1.85,0.09
3621,!pfm,0.0,0.0,1.85,0.09
3622,Chappers,0.0,0.0,1.85,0.09
3623,G╠╢u╠╢y╠╢Γ¢ö,0.0,0.0,1.85,0.09
3624,Airmilez,0.0,0.0,1.85,0.09
3625,Ben_10,0.0,0.0,1.85,0.09
3626,!≡¥É╣≡¥æ£≡¥æá≡¥æ₧≡¥æó≡¥æû≡¥æû,0.0,0.0,1.85,0.09
3627,G├╕├▒├½,0.0,0.0,1.85,0.09
3628,Erinyourfav,0.0,0.0,1.85,0.09
3629,Benji,0.0,0.0,1.85,0.09
3630,Esswan,0.0,0.0,1.85,0.09
3631,Benjii,0.0,0.0,1.85,0.09
3632,Gy┼½tar┼ì ┬»\_(πâä)_/┬»,0.0,0.0,1.85,0.09
3633,!nikki,0.0,0.0,1.85,0.09
3634,BeanKernel,0.0,0.0,1.85,0.09
3635,EnvyLove,0.0,0.0,1.85,0.09
3636,!Gen,0.0,0.0,1.85,0.09
3637,Adorable4Liam,0.0,0.0,1.85,0.09
3638,Bakubear,0.0,0.0,1.85,0.09
3639,Balec,0.0,0.0,1.85,0.09
3640,Claire.,0.0,0.0,1.85,0.09
3641,Emote Manager,0.0,0.0,1.85,0.09
3642,Balzarine Mythus,0.0,0.0,1.85,0.09
3643,Aegis,0.0,0.0,1.85,0.09
3644,!<3.,0.0,0.0,1.85,0.09
3645,Ciel,0.0,0.0,1.85,0.09
3646,99,0.0,0.0,1.85,0.09
3647,Ciclonix,0.0,0.0,1.85,0.09
3648,Chzinn RD Γü╖Γü╖Γü╖,0.0,0.0,1.85,0.09
3649,Based,0.0,0.0,1.85,0.09
3650,Emperor.,0.0,0.0,1.85,0.09
3651,!Lou,0.0,0.0,1.85,0.09
3652,!MUSHU.ffx,0.0,0.0,1.85,0.09
3653,EnteTrooper,0.0,0.0,1.85,0.09
3654,!Xia,0.0,0.0,1.85,0.09
3655,AaronShelby',0.0,0.0,1.85,0.09
3656,Wu Tang,0.0,0.0,1.85,0.09
3657,crazybfr,0.0,0.0,1.85,0.09
3658,lost,0.0,0.0,1.85,0.09
3659,kerm,0.0,0.0,1.85,0.09
3660,kevin_gamingidk69,0.0,0.0,1.85,0.09
3661,khaoulaΓ¥Ç,0.0,0.0,1.85,0.09
3662,kirakira,0.0,0.0,1.85,0.09
3663,kiyomie,0.0,0.0,1.85,0.09
3664,klb,0.0,0.0,1.85,0.09
3665,kodzuken,0.0,0.0,1.85,0.09
3666,koga,0.0,0.0,1.85,0.09
3667,koi<3,0.0,0.0,1.85,0.09
3668,kool aid,0.0,0.0,1.85,0.09
3669,"krempo bran├¡k gamer 29,90 K─ì",0.0,0.0,1.85,0.09
3670,kristine,0.0,0.0,1.85,0.09
3671,krn,0.0,0.0,1.85,0.09
3672,kwami,0.0,0.0,1.85,0.09
3673,kylie.,0.0,0.0,1.85,0.09
3674,lafiel,0.0,0.0,1.85,0.09
3675,lafourcade20,0.0,0.0,1.85,0.09
3676,lani,0.0,0.0,1.85,0.09
3677,lex.,0.0,0.0,1.85,0.09
3678,lil ChApZ,0.0,0.0,1.85,0.09
3679,lilbitch,0.0,0.0,1.85,0.09
3680,lily.,0.0,0.0,1.85,0.09
3681,littlemiss36,0.0,0.0,1.85,0.09
3682,livylivia1998,0.0,0.0,1.85,0.09
3683,lol999,0.0,0.0,1.85,0.09
3684,kenj;,0.0,0.0,1.85,0.09
3685,kavii,0.0,0.0,1.85,0.09
3686,kata,0.0,0.0,1.85,0.09
3687,jamie.,0.0,0.0,1.85,0.09
3688,idle,0.0,0.0,1.85,0.09
3689,ilovemybigfatjuicymarlene,0.0,0.0,1.85,0.09
3690,ilyes layzo,0.0,0.0,1.85,0.09
3691,imuwi,0.0,0.0,1.85,0.09
3692,infection,0.0,0.0,1.85,0.09
3693,irisuc,0.0,0.0,1.85,0.09
3694,isabelle,0.0,0.0,1.85,0.09
3695,itsSTEPH,0.0,0.0,1.85,0.09
3696,its_tzzr,0.0,0.0,1.85,0.09
3697,jamajcior,0.0,0.0,1.85,0.09
3698,jamia,0.0,0.0,1.85,0.09
3699,jasper≡ƒûñ,0.0,0.0,1.85,0.09
3700,kaitlyn,0.0,0.0,1.85,0.09
3701,jayifyconceldemondYT,0.0,0.0,1.85,0.09
3702,jdmslayer,0.0,0.0,1.85,0.09
3703,jeerasoda,0.0,0.0,1.85,0.09
3704,jillian,0.0,0.0,1.85,0.09
3705,jintra,0.0,0.0,1.85,0.09
3706,johnroblox21893,0.0,0.0,1.85,0.09
3707,jojoo,0.0,0.0,1.85,0.09
3708,jupiterr,0.0,0.0,1.85,0.09
3709,justaperson,0.0,0.0,1.85,0.09
3710,jΓÇÖs,0.0,0.0,1.85,0.09
3711,k2c0,0.0,0.0,1.85,0.09
3712,look at the stars,0.0,0.0,1.85,0.09
3713,ltlmanandy,0.0,0.0,1.85,0.09
3714,i_2ft,0.0,0.0,1.85,0.09
3715,lucifer morningstar≡ƒÑÇ,0.0,0.0,1.85,0.09
3716,morty da frog,0.0,0.0,1.85,0.09
3717,most.,0.0,0.0,1.85,0.09
3718,mvpMATTmadness,0.0,0.0,1.85,0.09
3719,mz,0.0,0.0,1.85,0.09
3720,mΓÇÖ,0.0,0.0,1.85,0.09
3721,nSkey,0.0,0.0,1.85,0.09
3722,naee.,0.0,0.0,1.85,0.09
3723,nelly ≡ôàô,0.0,0.0,1.85,0.09
3724,nico?,0.0,0.0,1.85,0.09
3725,nicole.,0.0,0.0,1.85,0.09
3726,nishant,0.0,0.0,1.85,0.09
3727,not fair≡ƒ¬É,0.0,0.0,1.85,0.09
3728,noxhy!,0.0,0.0,1.85,0.09
3729,ny,0.0,0.0,1.85,0.09
3730,o70_,0.0,0.0,1.85,0.09
3731,obligatory,0.0,0.0,1.85,0.09
3732,odakker,0.0,0.0,1.85,0.09
3733,ogayu,0.0,0.0,1.85,0.09
3734,okeokeoke,0.0,0.0,1.85,0.09
3735,omri,0.0,0.0,1.85,0.09
3736,oni,0.0,0.0,1.85,0.09
3737,orgy,0.0,0.0,1.85,0.09
3738,osairy,0.0,0.0,1.85,0.09
3739,pam,0.0,0.0,1.85,0.09
3740,pao de alho/ Cabe├ºa do Sabito,0.0,0.0,1.85,0.09
3741,mortimer,0.0,0.0,1.85,0.09
3742,moody.exe,0.0,0.0,1.85,0.09
3743,monetttt,0.0,0.0,1.85,0.09
3744,marz,0.0,0.0,1.85,0.09
3745,lucki,0.0,0.0,1.85,0.09
3746,luka!,0.0,0.0,1.85,0.09
3747,lunar ΓÇá,0.0,0.0,1.85,0.09
3748,madtrixen,0.0,0.0,1.85,0.09
3749,mae,0.0,0.0,1.85,0.09
3750,manmarale,0.0,0.0,1.85,0.09
3751,manwell,0.0,0.0,1.85,0.09
3752,maquita,0.0,0.0,1.85,0.09
3753,maria.,0.0,0.0,1.85,0.09
3754,marisavip,0.0,0.0,1.85,0.09
3755,martiin,0.0,0.0,1.85,0.09
3756,maxine.,0.0,0.0,1.85,0.09
3757,momhunter,0.0,0.0,1.85,0.09
3758,me escape del sologico,0.0,0.0,1.85,0.09
3759,meeko,0.0,0.0,1.85,0.09
3760,mewliver,0.0,0.0,1.85,0.09
3761,midas,0.0,0.0,1.85,0.09
3762,mikeyΓÇÖswife≡ƒñ║,0.0,0.0,1.85,0.09
3763,mila is so pretty,0.0,0.0,1.85,0.09
3764,mild mega,0.0,0.0,1.85,0.09
3765,minion,0.0,0.0,1.85,0.09
3766,mitu,0.0,0.0,1.85,0.09
3767,miu,0.0,0.0,1.85,0.09
3768,mmari,0.0,0.0,1.85,0.09
3769,iamsumayyah,0.0,0.0,1.85,0.09
3770,hwrts,0.0,0.0,1.85,0.09
3771,alfie,0.0,0.0,1.85,0.09
3772,cursed,0.0,0.0,1.85,0.09
3773,bluesn,0.0,0.0,1.85,0.09
3774,booman,0.0,0.0,1.85,0.09
3775,bootywirk,0.0,0.0,1.85,0.09
3776,boredandrew,0.0,0.0,1.85,0.09
3777,bound2,0.0,0.0,1.85,0.09
3778,breebree,0.0,0.0,1.85,0.09
3779,bri404,0.0,0.0,1.85,0.09
3780,bthanyasin,0.0,0.0,1.85,0.09
3781,bungbee,0.0,0.0,1.85,0.09
3782,cailyn,0.0,0.0,1.85,0.09
3783,calbe,0.0,0.0,1.85,0.09
3784,caro,0.0,0.0,1.85,0.09
3785,cashew,0.0,0.0,1.85,0.09
3786,cattolin,0.0,0.0,1.85,0.09
3787,cherie,0.0,0.0,1.85,0.09
3788,chozu.,0.0,0.0,1.85,0.09
3789,cia ∞è╣,0.0,0.0,1.85,0.09
3790,clichayed,0.0,0.0,1.85,0.09
3791,coffeelxrd,0.0,0.0,1.85,0.09
3792,cofi,0.0,0.0,1.85,0.09
3793,comically smol,0.0,0.0,1.85,0.09
3794,cool_cola_catz<3,0.0,0.0,1.85,0.09
3795,coryferriswheel,0.0,0.0,1.85,0.09
3796,cowgotbarz,0.0,0.0,1.85,0.09
3797,InsaneStorm,0.0,0.0,1.85,0.09
3798,blowthewhistle,0.0,0.0,1.85,0.09
3799,blow job,0.0,0.0,1.85,0.09
3800,blob,0.0,0.0,1.85,0.09
3801,armvn,0.0,0.0,1.85,0.09
3802,alizeah,0.0,0.0,1.85,0.09
3803,almondbun,0.0,0.0,1.85,0.09
3804,ana fl├ívia,0.0,0.0,1.85,0.09
3805,andrej,0.0,0.0,1.85,0.09
3806,angelinaa,0.0,0.0,1.85,0.09
3807,angelology ╩ÜΓ£ƒΓâ¢╔₧,0.0,0.0,1.85,0.09
3808,annabella,0.0,0.0,1.85,0.09
3809,ano,0.0,0.0,1.85,0.09
3810,anton├¡o,0.0,0.0,1.85,0.09
3811,aphrodite,0.0,0.0,1.85,0.09
3812,arcticmonsi,0.0,0.0,1.85,0.09
3813,arr,0.0,0.0,1.85,0.09
